seed,n_train,n_test,n_local_train,n_users,score_name,score,time,id_user,n_local_iterations,policy,data_name,network_topology,type_sequence,BN_Structure
10,15,45,15,7,local,-0.7517511440805619,1,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.9843717160622333,1,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-1.0676218524024566,1,0,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,1,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.8556880110829994,2,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.8397802406476874,2,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.9093344347117582,2,1,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,2,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.6435236764416304,3,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.7207846438897034,3,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.805161559903425,3,2,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,3,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.4571754383483102,4,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.6853275747623099,4,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.78246752637549,4,3,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,4,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.6615616334161506,5,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.6484929468694663,5,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.7274606169025352,5,4,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,5,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5990266297508341,6,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.619843549957,6,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.6904543513178849,6,5,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,6,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.628777288271403,7,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5979546002553063,7,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.6740082379963465,7,6,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,7,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.567716355844516,8,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.6064290624450125,8,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.7089753888991376,8,0,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,8,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.6051538932714932,9,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5827433635281793,9,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.6830669428455409,9,1,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,9,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.4460312991189914,10,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5519369585900415,10,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.6473138699767204,10,2,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,10,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3322445559161355,11,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5583422336847323,11,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.6469451458127428,11,3,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,11,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5591459649854078,12,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5490644317845891,12,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.631009936559175,12,4,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,12,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5434207664906956,13,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5336150137654424,13,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.6125110807214847,13,5,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,13,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5423377306191587,14,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5240920632759171,14,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.6135268152812084,14,6,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,14,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5375758082847089,15,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5415737053156106,15,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.6508092537066325,15,0,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,15,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5268367122865419,16,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5286112293141864,16,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.6388517569253327,16,1,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,16,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.38846198032496304,17,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.506166063582527,17,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.6083820922894664,17,2,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,17,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.29124117547242284,18,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5194845208374604,18,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.6087681530132828,18,3,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4746179960720781,18,-1,1,info,data/iris.csv,Given,Given,NB
